EventID,Prediction
1,-0.031254
2,-0.15395
3,-0.9767
4,0.96405
5,-4.3988
6,1.0566
7,-1.3916
8,0.71504
9,-1.0705
10,0.6535
11,-0.090289
12,1.3618
13,-0.83401
14,0.066953
15,-1.8574
16,0.56054
17,-0.63456
18,0.63014
19,0.79819
20,0.73705
21,0.50922
22,0.43374
23,0.02991
24,-0.4552
25,0.99793
26,1.3171
27,0.1943
28,-2.0289
29,-1.4566
30,-0.00053497
31,-0.02249
32,-0.21342
33,0.99108
34,-0.29338
35,1.2504
36,0.15032
37,0.46635
38,0.64981
39,0.17722
40,-0.59486
41,0.46288
42,-0.27107
43,0.34946
44,0.23656
45,-0.15756
46,0.88035
47,-0.21895
48,-0.83012
49,0.18241
50,2.1868
51,-1.6156
52,0.1203
53,0.20647
54,-0.78278
55,0.3282
56,0.56105
57,1.0616
58,0.4079
59,0.1174
60,1.4477
61,0.37858
62,-0.19324
63,0.87473
64,0.79977
65,-0.4793
66,-0.38574
67,0.70503
68,-1.8966
69,0.12588
70,0.74801
71,0.49706
72,-0.65874
73,1.0294
74,1.2236
75,-3.1415
76,1.1276
77,0.51055
78,0.11679
79,1.3186
80,1.7939
81,-0.3351
82,-0.22078
83,1.7298
84,-0.86987
85,0.095411
86,-1.7242
87,0.19788
88,-0.13459
89,-1.2901
90,0.61305
91,0.72738
92,-0.26784
93,-4.7626
94,2.4361
95,2.2493
96,-2.0229
97,1.792
98,-0.4793
99,0.74581
100,-0.036736
101,-0.54891
102,2.1577
103,2.1569
104,-0.054682
105,-0.11705
106,0.39052
107,0.65208
108,0.029529
109,0.64875
110,-2.508
111,-1.2112
112,-1.5981
113,-4.5747
114,0.42858
115,0.20477
116,0.5559
117,0.098984
118,-0.16804
119,1.3318
120,-2.2084
121,-1.7404
122,0.39338
123,-0.61525
124,-0.19533
125,1.8703
126,0.45568
127,0.94462
128,0.5488
129,-1.5221
130,0.91581
131,0.51793
132,-1.0334
133,0.69773
134,0.43634
135,-0.34207
136,1.5511
137,1.3745
138,0.25442
139,-0.25862
140,-2.1912
141,-1.2509
142,-0.57957
143,-1.2125
144,0.25185
145,-1.2562
146,0.71532
147,-2.4942
148,0.38285
149,0.18852
150,1.6758
151,-0.44444
152,0.80596
153,1.3238
154,-0.2797
155,0.44566
156,2.7709
157,1.2798
158,-0.81492
159,0.36659
160,0.16086
161,0.80943
162,0.28218
163,-1.4492
164,0.76101
165,-2.8011
166,1.4573
167,0.84061
168,-3.7583
169,0.32394
170,0.48635
171,-0.16482
172,-0.26186
173,-0.1458
174,-1.2482
175,-3.2168
176,0.17632
177,0.35581
178,-2.343
179,1.2665
180,-0.5713
181,-1.4383
182,-1.0992
183,-0.32026
184,0.1425
185,0.66771
186,-0.78708
187,2.1789
188,0.78278
189,0.29472
190,1.8478
191,1.7939
192,0.00033183
193,0.65637
194,-1.565
195,0.57331
196,-0.13686
197,0.8294
198,1.707
199,0.025024
200,0.63583
201,-0.38248
202,0.18121
203,1.0102
204,-0.043951
205,1.686
206,0.28332
207,1.2739
208,0.96308
209,-0.51437
210,-0.016389
211,0.57023
212,1.0394
213,1.5672
214,-0.05337
215,1.0619
216,0.75862
217,0.58829
218,-0.66946
219,-0.36118
220,0.24259
221,-0.64038
222,1.3414
223,-0.05693
224,0.8346
225,-0.17467
226,0.63047
227,0.29085
228,0.49566
229,-0.40368
230,0.37431
231,-0.2693
232,0.87152
233,0.2283
234,0.68814
235,-0.70624
236,-0.22976
237,0.90092
238,-0.093838
239,0.77658
240,-0.10321
241,-1.7637
242,-0.38568
243,2.1783
244,0.42155
245,1.028
246,0.87497
247,1.0255
248,0.73796
249,0.1255
250,0.14046
251,0.54201
252,0.53163
253,-1.1138
254,-4.2311
255,0.27551
256,1.1297
257,0.73862
258,0.75755
259,0.058318
260,-1.1739
261,2.586
262,-0.18867
263,0.85734
264,0.45815
265,0.11466
266,0.17858
267,0.88645
268,-0.85857
269,0.27593
270,-1.077
271,-0.50718
272,-3.0359
273,1.2033
274,0.52048
275,-0.9871
276,-0.3459
277,0.53422
278,0.035435
279,0.54227
280,0.28231
281,-1.9102
282,-0.14637
283,3.0502
284,-0.3066
285,0.36625
286,0.36279
287,0.026339
288,-1.0867
289,0.20317
290,0.8454
291,0.46778
292,0.11988
293,0.93328
294,1.0188
295,-0.17908
296,0.26176
297,1.0207
298,0.55
299,-1.1241
300,-0.13166
301,2.2286
302,-0.12269
303,-1.1857
304,0.44268
305,0.92029
306,0.47398
307,-0.99047
308,0.67121
309,0.77581
310,1.3516
311,0.79697
312,-0.20522
313,-0.47636
314,0.88631
315,-2.0789
316,-0.15217
317,-0.1844
318,-0.081904
319,-2.5106
320,0.5804
321,0.84665
322,0.96304
323,0.34209
324,-0.175
325,1.4442
326,0.21231
327,-1.2962
328,-0.45485
329,1.5941
330,1.1142
331,-4.936
332,0.93686
333,1.7149
334,-0.92972
335,-0.2791
336,-0.77915
337,1.1322
338,0.3062
339,-0.039969
340,0.20798
341,0.96055
342,-1.4981
343,0.031308
344,0.22631
345,1.1262
346,0.48162
347,-4.5243
348,1.1223
349,0.42138
350,0.57407
351,0.2864
352,-0.15314
353,-0.086584
354,0.91368
355,0.011301
356,1.4473
357,-0.096974
358,0.00073642
359,0.9273
360,0.82033
361,-1.5162
362,1.5382
363,-0.36461
364,0.75736
365,0.74362
366,0.69409
367,-1.2583
368,0.55572
369,-0.31545
370,0.19085
371,0.27487
372,1.4595
373,0.6187
374,-0.74694
375,-0.22302
376,0.086994
377,0.50635
378,0.25314
379,0.36497
380,0.74802
381,-0.33865
382,1.4734
383,1.1999
384,1.4013
385,0.13717
386,0.014007
387,1.8082
388,-0.78339
389,1.5825
390,-0.59742
391,1.2067
392,-0.23999
393,0.59028
394,0.52726
395,0.27227
396,0.64079
397,0.022555
398,-0.089445
399,-0.028208
400,1.4858
401,1.0389
402,-4.2927
403,-0.62908
404,1.1336
405,-0.46672
406,1.1171
407,0.94542
408,-1.2502
409,-0.46867
410,-0.79844
411,0.013951
412,0.33154
413,0.65339
414,-0.090901
415,0.43239
416,-0.7159
417,-1.5629
418,-2.9658
419,0.72253
420,0.68313
421,1.4549
422,-0.1396
423,0.32023
424,1.7946
425,1.0381
426,-0.8843
427,0.26033
428,0.11245
429,1.315
430,0.883
431,1.2507
432,2.3938
433,0.44789
434,0.065924
435,-0.20961
436,-0.29903
437,0.098941
438,0.14642
439,-1.4519
440,0.51262
441,0.91763
442,-0.14005
443,-0.11111
444,-0.038814
445,0.15267
446,0.42768
447,-0.093053
448,-0.049609
449,0.2975
450,1.8916
451,0.50411
452,0.46723
453,0.35229
454,0.077278
455,0.68638
456,0.71711
457,0.55039
458,0.69452
459,1.0082
460,1.4796
461,0.84069
462,-1.821
463,0.10919
464,-2.7421
465,-1.5668
466,0.92
467,0.37553
468,1.2436
469,0.82139
470,-0.3999
471,1.7833
472,-1.0994
473,0.339
474,1.984
475,0.86296
476,0.092685
477,-2.8453
478,0.66816
479,1.2875
480,-1.0516
481,1.7401
482,-1.3306
483,-0.33345
484,-0.6886
485,0.054444
486,-0.7193
487,-0.30747
488,-0.37767
489,0.57891
490,1.4556
491,-1.0269
492,0.52903
493,0.13581
494,0.54884
495,-1.7517
496,0.35143
497,0.96514
498,1.0048
499,-0.3085
500,-0.86421
501,-0.2179
502,0.34165
503,0.6572
504,-3.5546
505,-0.50756
506,0.56062
507,0.10396
508,-0.11249
509,0.48383
510,-1.9332
511,0.75042
512,-0.2331
513,1.6053
514,1.3975
515,2.1958
